Municipio,Salto,M̩todo,MAPE
03031,0,Naive Estacional,0.32756511974995833
03031,1,Naive Estacional,0.30304408441888525
03031,2,Naive Estacional,0.2791679134982801
03031,3,Naive Estacional,0.35016175246266046
03031,4,Naive Estacional,0.29661226791454354
03031,5,Naive Estacional,0.22504743862129817
03031,6,Naive Estacional,0.18000562194079414
03031,7,Naive Estacional,0.21170366558147694
03031,8,Naive Estacional,0.2963945198699825
03031,9,Naive Estacional,0.2967083230565436
03031,10,Naive Estacional,0.2750481195489391
03031,11,Naive Estacional,0.208516732546204
03031,12,Naive Estacional,0.16640829534607546
03031,13,Naive Estacional,0.1439480083216334
03031,0,SARIMAX,0.46771759529406437
03031,1,SARIMAX,0.4730976070960507
03031,2,SARIMAX,0.47944620086656037
03031,3,SARIMAX,0.4827903328197392
03031,4,SARIMAX,0.36966543588241246
03031,5,SARIMAX,0.40415638169156676
03031,6,SARIMAX,0.24497831411255927
03031,7,SARIMAX,0.23170582019706015
03031,8,SARIMAX,0.1719648572476268
03031,9,SARIMAX,0.24044720504642117
03031,10,SARIMAX,0.2800494484409314
03031,11,SARIMAX,0.28678239707298353
03031,12,SARIMAX,0.23819718015835328
03031,13,SARIMAX,0.26658486509511736
03031,0,Prophet,0.18194010530042748
03031,1,Prophet,0.15385447216989462
03031,2,Prophet,0.17781359589367007
03031,3,Prophet,0.16266874229882564
03031,4,Prophet,0.13587022618164962
03031,5,Prophet,0.18379025313577985
03031,6,Prophet,0.13044025117948835
03031,7,Prophet,0.1550314786188071
03031,8,Prophet,0.17504950206251632
03031,9,Prophet,0.1718600779659456
03031,10,Prophet,0.17916122554999186
03031,11,Prophet,0.17556737399605696
03031,12,Prophet,0.14428697633917
03031,13,Prophet,0.1964472502094783
